candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Mikkel Bahl,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,53,53,,,15,,False
Mette Bram,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,217,217,,,9,,False
Lise Coermann,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,3946,3946,,,1,,False
Vibeke Frost,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,159,159,,,10,,False
Peter Martin Jakobsen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,148,148,,,12,,False
Nikolai Eskild Jensen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,222,222,,,8,,False
Jakob Ravn Karlsen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,107,107,,,13,,False
Jan Kristoffersen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,554,554,,,5,,False
Catharina Næsby Malkki,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,259,259,,,7,,False
Roger Courage Matthisen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,325,325,,,6,,False
Jiesper Tristan Pedersen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,971,971,,,4,,False
Franciska Rosenkilde,Alternativet,Københavns Storkreds,Hovedstaden,Alle,Alle,11385,11385,1K,1,,K,True
Jan Schumann,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,58,58,,,14,,False
Noah Sturis,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,153,153,,,11,,False
Anders Sørensen,Alternativet,Københavns Storkreds,Hovedstaden,Alle,,1009,1009,,,3,,False
Thomas Anker,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,,143,143,,,3,,False
Nana Løcke Buttenschøn,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,,206,206,,,1,,False
Jesper Callesen,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,,48,48,,,6,,False
Thomas Lindqvist,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,,119,119,,,5,,False
Peter Samir,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,,135,135,,,4,,False
Signe Wenneberg,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,Alle,3349,3349,1T,1,,T,True
Tim Wodskou,Alternativet,Københavns Omegns Storkreds,Hovedstaden,Alle,,188,188,,,2,,False
Helene Brydensholt,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,Alle,1227,1227,,,1,,False
Morten Hvidberg Greve,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,145,145,,,4,,False
Rasmus Harning,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,136,136,,,5,,False
Ingrid Heintz,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,50,50,,,8,,False
Nanna Høyrup,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,268,268,,,2,,False
Mariane Lunden,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,47,47,,,9,,False
Sofie Faureholm Lundsberg,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,36,36,,,10,,False
Simon Rigét,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,63,63,,,7,,False
Salik Anders Rosing,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,198,198,,,3,,False
Tine Loft Thomsen,Alternativet,Nordsjællands Storkreds,Hovedstaden,Alle,,120,120,,,6,,False
Kim Hjerrild,Alternativet,Bornholms Storkreds,Hovedstaden,Alle,2,37,37,,,2,,False
Sofie Valbjørn,Alternativet,Bornholms Storkreds,Hovedstaden,Alle,1,57,57,,,1,,False
Jacob Antvorskov,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,295,295,,,3,,False
Isabella Apelroth,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,45,45,,,10,,False
Yurdal Cicek,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,243,243,,,4,,False
Valentina Crast,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,329,329,,,2,,False
Sascha Faxe,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,Alle,1290,1290,,,1,,False
Mette Friis,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,199,199,,,5,,False
Line Gessø,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,81,81,,,7,,False
Lars König,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,47,47,,,9,,False
Allan Hansen Lindemark,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,52,52,,,8,,False
Liselotte Katarina Rotfeld,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,122,122,,,6,,False
Elise Sydendal,Alternativet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1298,1298,1T,1,,T,True
Maria Dalum,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,315,315,,,3,,False
Linda Frølund,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,Alle,732,732,,,1,,False
Bodil Helbo,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,70,70,,,8,,False
Jacob Holm,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,119,119,,,5,,False
Martin Kjærulff,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,94,94,,,6,,False
Ole Dupont Kofod,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,81,81,,,7,,False
Stine Larsen,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,470,470,,,2,,False
Matilde Skov-Hansen,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,212,212,,,4,,False
Bo Tønnesen,Alternativet,Fyns Storkreds,Sjælland-Syddanmark,Alle,,21,21,,,9,,False
Astrid Fogh,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,156,156,,,2,,False
Hans Biering Fonsbøl,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,51,51,,,6,,False
Mikael Hertig,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,33,33,,,9,,False
Coco Mette Cecilie Kjærgaard,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,Alle,379,379,,,1,,False
Edvard Korsbæk,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,44,44,,,7,,False
Bo Nielsen,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,61,61,,,5,,False
Bodil Nielsen,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,32,32,,,10,,False
Carsten Sohl,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,43,43,,,8,,False
Ane Line Søndergaard,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,121,121,,,3,,False
Mikael Winther,Alternativet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,96,96,,,4,,False
Lissi Bagge,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,23,23,,,19,,False
Steffen Hedegaard Attermann Brinch,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,393,393,,,2,,False
Anna Calero,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,132,132,,,7,,False
Torsten Gejl,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,3316,3316,1T,1,,T,True
Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1267,1267,,,1,,False
Gitte Dreier Jacobsen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,344,344,,,4,,False
Thor Clasen Jonasen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,124,124,,,8,,False
Tina Kjær,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,321,321,,,5,,False
Karina Konrad,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,112,112,,,9,,False
Sasja Elkjær Krogsdal,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,56,56,,,11,,False
Juma Nellemann Kruse,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,50,50,,,12,,False
Hanne K. Mortensen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,58,58,,,10,,False
Mads Damgaard Mortensen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,44,44,,,14,,False
Thomas Quist Mortensen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,43,43,,,15,,False
Thomas Due Nielsen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,46,46,,,13,,False
Bjørn Olsen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,351,351,,,3,,False
Marcus Bech Pedersen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,28,28,,,17,,False
Tenna Duch Schaldemose,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,35,35,,,16,,False
Pernille Skærsø,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,187,187,,,6,,False
Kim Sørensen,Alternativet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,27,27,,,18,,False
Peter Bilgrav,Alternativet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"3,4",387,387,,,2,,False
Lina Sikora Christiansen,Alternativet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,80,80,,,5,,False
Didde Krabbe Johannesen,Alternativet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,80,80,,,4,,False
Signe Sofie Larsen,Alternativet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"5,6",457,457,,,1,,False
Nicklas Stampe Raabjerg,Alternativet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"8,9,10",142,142,,,3,,False
Steffen Tolstrup,Alternativet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,7,11",58,58,,,6,,False
Anna Bjerre,Alternativet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,1194,1194,1T,1,,T,True
Anne-Marie Hemmeth,Alternativet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,116,116,,,3,,False
Emil Sloth,Alternativet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,350,350,,,1,,False
Anette Jensen Smith,Alternativet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,277,277,,,2,,False
