candidate_name,party_name,storkreds
Jørgen Hammer Sørensen,Dansk Folkeparti,Nordjyllands Storkreds
Thomas Hjort,Dansk Folkeparti,Nordjyllands Storkreds
Dorthe Pedersen,Det Konservative Folkeparti,Nordjyllands Storkreds
Gabriel Aaen,Det Konservative Folkeparti,Nordjyllands Storkreds
Laura Holm,Det Konservative Folkeparti,Nordjyllands Storkreds
Lene Burchardt,Det Konservative Folkeparti,Nordjyllands Storkreds
Per Larsen,Det Konservative Folkeparti,Nordjyllands Storkreds
René Flou,Det Konservative Folkeparti,Nordjyllands Storkreds
Sofie Therese Svendsen,Det Konservative Folkeparti,Nordjyllands Storkreds
Stine Thier-Andersen,Det Konservative Folkeparti,Nordjyllands Storkreds
Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds
Berit Raldin,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Christina Eilers,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Hans Jensen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Lasse Mejer Petersen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Lasse Olsen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Peder Hvelplund,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Runa Friis Hansen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Ulrik Appel,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds
Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds
Bo Ritterbusch,Liberal Alliance,Nordjyllands Storkreds
Claus Beck,Liberal Alliance,Nordjyllands Storkreds
Dan Gaardboe Rueskov,Liberal Alliance,Nordjyllands Storkreds
Frederik Blicher Pedersen,Liberal Alliance,Nordjyllands Storkreds
HP Beck,Liberal Alliance,Nordjyllands Storkreds
Jimmy Abel Nielsen,Liberal Alliance,Nordjyllands Storkreds
Kenneth Skatka Hammer,Liberal Alliance,Nordjyllands Storkreds
Kim Gaarsdahl,Liberal Alliance,Nordjyllands Storkreds
Kresten Solvang Larsen,Liberal Alliance,Nordjyllands Storkreds
Lukas Vestergaard,Liberal Alliance,Nordjyllands Storkreds
Mark Hellerup,Liberal Alliance,Nordjyllands Storkreds
Peter Larsen,Liberal Alliance,Nordjyllands Storkreds
Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds
Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds
Sólbjørg Jakobsen,Liberal Alliance,Nordjyllands Storkreds
Thomas Christiansen,Liberal Alliance,Nordjyllands Storkreds
Thomas Heuniche,Liberal Alliance,Nordjyllands Storkreds
Ditte Ravn Kaagaard,Moderaterne,Nordjyllands Storkreds
Line Randa,Moderaterne,Nordjyllands Storkreds
Mohammad Rona,Moderaterne,Nordjyllands Storkreds
Morten Arvidsson,Moderaterne,Nordjyllands Storkreds
Nikolaj C. Andersen,Moderaterne,Nordjyllands Storkreds
Thomas Skovgaard,Moderaterne,Nordjyllands Storkreds
Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds
Dorthe Kerschus,Radikale Venstre,Nordjyllands Storkreds
Emma Biørn Tretow-Fish,Radikale Venstre,Nordjyllands Storkreds
Gorm Simonsen,Radikale Venstre,Nordjyllands Storkreds
Jacob Robsøe,Radikale Venstre,Nordjyllands Storkreds
Marie Wandel,Radikale Venstre,Nordjyllands Storkreds
Michael Portefee P. Lex,Radikale Venstre,Nordjyllands Storkreds
Pia Elberg,Radikale Venstre,Nordjyllands Storkreds
Steen Asgeir Petersen,Radikale Venstre,Nordjyllands Storkreds
Steffen Holme Helledie,Radikale Venstre,Nordjyllands Storkreds
Susanne Krebs,Radikale Venstre,Nordjyllands Storkreds
Torsten Wetche,Radikale Venstre,Nordjyllands Storkreds
