candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,auto_status,review
"Thomas Andresen","Venstre","Sydjyllands Storkreds","thomasandresen_venstre","https://www.tiktok.com/@thomasandresen_venstre","35","25","15","0","75","high_confidence","korrekt"
"Laura Emilie Fabricius-Lauritzen","Liberal Alliance","Københavns Storkreds","fabriciuslauritzen","https://www.tiktok.com/@fabriciuslauritzen","53","12","8","0","73","possible_match","korrekt"
"Jakob Larsen","Radikale Venstre","Fyns Storkreds","jakob.larsen.rv","https://www.tiktok.com/@jakob.larsen.rv","35","25","8","5","73","possible_match","korrekt"
"Anne Catherine Hoxcer Nielsen","Socialdemokratiet","Sydjyllands Storkreds","annenielsen","https://www.tiktok.com/@annenielsen","53","12","8","0","73","possible_match","ingen_konto"
"Kiki Bille Bach","Socialdemokratiet","Nordjyllands Storkreds","kikibach0","https://www.tiktok.com/@kikibach0","34","25","8","5","72","possible_match","korrekt"
"Lars Høyer Holmqvist","Liberal Alliance","Nordsjællands Storkreds","larsholmqvist5","https://www.tiktok.com/@larsholmqvist5","33","25","8","5","71","possible_match","korrekt"
"Runa Friis Hansen","Enhedslisten - De Rød-Grønne","Nordjyllands Storkreds","runa.friis.hansen","https://www.tiktok.com/@runa.friis.hansen","53","16","0","0","69","possible_match","korrekt"
"Thomas Quist Mortensen","Alternativet","Østjyllands Storkreds","thomasmortensen","https://www.tiktok.com/@thomasmortensen","53","16","0","0","69","possible_match","ingen_konto"
"Signe Sofie Larsen","Alternativet","Vestjyllands Storkreds","signelarsen","https://www.tiktok.com/@signelarsen","53","16","0","0","69","possible_match","ingen_konto"
"Kim Edberg Andersen","Danmarksdemokraterne - Inger Støjberg","Nordjyllands Storkreds","kimandersen","https://www.tiktok.com/@kimandersen","53","16","0","0","69","possible_match","ingen_konto"
"Maria Sofie Petersen","Enhedslisten - De Rød-Grønne","Københavns Storkreds","mariapetersen","https://www.tiktok.com/@mariapetersen","53","16","0","0","69","possible_match","ingen_konto"
"Martin Mickey Pedersen","Liberal Alliance","Sjællands Storkreds","martinpedersen","https://www.tiktok.com/@martinpedersen","53","16","0","0","69","possible_match","ingen_konto"
"Mette Bloch Hansen","Enhedslisten - De Rød-Grønne","Københavns Storkreds","mettehansen","https://www.tiktok.com/@mettehansen","53","16","0","0","69","possible_match","ingen_konto"
