candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,status
Marlene Ambo-Rasmussen,Venstre,Fyns Storkreds,marlenerasmussen,https://www.tiktok.com/@marlenerasmussen,53,16,8,0,77,high_confidence
Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,thomas_jen_sen,https://www.tiktok.com/@thomas_jen_sen,53,16,8,0,77,high_confidence
Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,tinahansen,https://www.tiktok.com/@tinahansen,53,16,8,0,77,high_confidence
Victoria Helene Olsen,Det Konservative Folkeparti,Sjællands Storkreds,_victoriaolsen,https://www.tiktok.com/@_victoriaolsen,53,16,8,0,77,high_confidence
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,jacob.harris.borg,https://www.tiktok.com/@jacob.harris.borg,35,25,15,0,75,high_confidence
Thomas Andresen,Venstre,Sydjyllands Storkreds,thomasandresen_venstre,https://www.tiktok.com/@thomasandresen_venstre,35,25,15,0,75,high_confidence
Thomas Skovgaard,Moderaterne,Nordjyllands Storkreds,thomasskovgaard44,https://www.tiktok.com/@thomasskovgaard44,35,25,15,0,75,high_confidence
Tobias Jørgensen,Venstre,Sydjyllands Storkreds,tobiasjrgensen,https://www.tiktok.com/@tobiasjrgensen,55,12,8,0,75,high_confidence
Zeynep Bardakci,Venstre,Københavns Storkreds,zeynepbardakci7,https://www.tiktok.com/@zeynepbardakci7,35,25,15,0,75,high_confidence
Zishan Ali,Moderaterne,Københavns Omegns Storkreds,zishan.ali2101,https://www.tiktok.com/@zishan.ali2101,35,25,15,0,75,high_confidence
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Sydjyllands Storkreds,annenielsen,https://www.tiktok.com/@annenielsen,53,12,8,0,73,possible_match
Jakob Larsen,Radikale Venstre,Fyns Storkreds,jakob.larsen.rv,https://www.tiktok.com/@jakob.larsen.rv,35,25,8,5,73,possible_match
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,Københavns Storkreds,lauralauritzen,https://www.tiktok.com/@lauralauritzen,53,12,8,0,73,possible_match
Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kikibach0,https://www.tiktok.com/@kikibach0,34,25,8,5,72,possible_match
Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,larsholmqvist5,https://www.tiktok.com/@larsholmqvist5,33,25,8,5,71,possible_match
Ina Juul Jensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,inajensen,https://www.tiktok.com/@inajensen,53,16,0,0,69,possible_match
John Bo Hansen,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,johnhansen,https://www.tiktok.com/@johnhansen,53,16,0,0,69,possible_match
Kim Edberg Andersen,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kimandersen,https://www.tiktok.com/@kimandersen,53,16,0,0,69,possible_match
Maria Sofie Petersen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,mariapetersen,https://www.tiktok.com/@mariapetersen,53,16,0,0,69,possible_match
Martin Mickey Pedersen,Liberal Alliance,Sjællands Storkreds,martinpedersen,https://www.tiktok.com/@martinpedersen,53,16,0,0,69,possible_match
Mette Bloch Hansen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,mettehansen,https://www.tiktok.com/@mettehansen,53,16,0,0,69,possible_match
Peter Juel-Jensen,Venstre,Bornholms Storkreds,peterjensen,https://www.tiktok.com/@peterjensen,53,16,0,0,69,possible_match
Runa Friis Hansen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,runahansen,https://www.tiktok.com/@runahansen,53,16,0,0,69,possible_match
Signe Sofie Larsen,Alternativet,Vestjyllands Storkreds,signelarsen,https://www.tiktok.com/@signelarsen,53,16,0,0,69,possible_match
Thomas Quist Mortensen,Alternativet,Østjyllands Storkreds,thomasmortensen,https://www.tiktok.com/@thomasmortensen,53,16,0,0,69,possible_match
Ali Qais,Moderaterne,Københavns Storkreds,ali.qaisofficiall,https://www.tiktok.com/@ali.qaisofficiall,35,25,8,0,68,possible_match
Araz Khan,Liberal Alliance,Fyns Storkreds,arazkhan002,https://www.tiktok.com/@arazkhan002,35,25,8,0,68,possible_match
Daniel Juhl,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,danieljuhlthygese,https://www.tiktok.com/@danieljuhlthygese,35,25,8,0,68,possible_match
Dorthe Pedersen,Det Konservative Folkeparti,Nordjyllands Storkreds,dorthepedersen4,https://www.tiktok.com/@dorthepedersen4,35,25,8,0,68,possible_match
Erik Jensen,Socialdemokratiet,Københavns Storkreds,erikjensen7,https://www.tiktok.com/@erikjensen7,35,25,8,0,68,possible_match
Frank Clausen,Liberal Alliance,Københavns Omegns Storkreds,frankclausen4,https://www.tiktok.com/@frankclausen4,35,25,8,0,68,possible_match
Helle Jensen,Liberal Alliance,Vestjyllands Storkreds,hellejensen282,https://www.tiktok.com/@hellejensen282,35,25,8,0,68,possible_match
Jan Carlsen,Moderaterne,Sjællands Storkreds,jancarlsen82,https://www.tiktok.com/@jancarlsen82,35,25,8,0,68,possible_match
Karan Khosla,Moderaterne,Københavns Omegns Storkreds,karankhosla53,https://www.tiktok.com/@karankhosla53,35,25,8,0,68,possible_match
Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kashif.ahmad0106,https://www.tiktok.com/@kashif.ahmad0106,35,25,8,0,68,possible_match
Kim Aas,Socialdemokratiet,Fyns Storkreds,kimaas1,https://www.tiktok.com/@kimaas1,35,25,8,0,68,possible_match
Kim Lei-Jensen,Radikale Venstre,Fyns Storkreds,kimleijensen_rv,https://www.tiktok.com/@kimleijensen_rv,35,25,8,0,68,possible_match
Mai Mercado,Det Konservative Folkeparti,Fyns Storkreds,maimercado_dk,https://www.tiktok.com/@maimercado_dk,35,25,8,0,68,possible_match
