candidate_key,candidate_name,party_name,storkreds,age_num,education,tiktok_exists,candidate_votes_total_2026,party_votes_total_2026,vote_share_of_party_total_2026,videos_last_7d,videos_last_14d,videos_last_30d,videos_last_90d,videos_total_2026,prior_vote_share_of_party_2022,prior_party_rank_2022
Michael Faust Horsbøl || Det Konservative Folkeparti || østjylland,Michael Faust Horsbøl,Det Konservative Folkeparti,østjylland,0.0,Erhvervsuddannelse,0,266,133656,0.0019901837553121444,0.0,0.0,0.0,0.0,0.0,,
Michael Graakjær || SF - Socialistisk Folkeparti || sjælland,Michael Graakjær,SF - Socialistisk Folkeparti,sjælland,0.0,Erhvervsuddannelse,0,128,180086,0.000710771520273647,0.0,0.0,0.0,0.0,0.0,0.001130499547800181,40.0
Michael Grove || Det Konservative Folkeparti || vestjylland,Michael Grove,Det Konservative Folkeparti,vestjylland,0.0,Kandidat-/masteruddannelse,0,411,133656,0.003075058358771772,0.0,0.0,0.0,0.0,0.0,,
Michael Hendriksen || Danmarksdemokraterne - Inger Støjberg || bornholm,Michael Hendriksen,Danmarksdemokraterne - Inger Støjberg,bornholm,0.0,Ikke oplyst,0,206,75770,0.0027187541243236107,0.0,0.0,0.0,0.0,0.0,,
Michael Jensen || Dansk Folkeparti || københavns omegn,Michael Jensen,Dansk Folkeparti,københavns omegn,0.0,Erhvervsuddannelse,0,475,126849,0.00374460973283195,0.0,0.0,0.0,0.0,0.0,0.012075397604555272,13.0
Michael Klausen || Liberal Alliance || østjylland,Michael Klausen,Liberal Alliance,østjylland,0.0,Erhvervsuddannelse,0,79,117371,0.0006730793807669696,0.0,0.0,0.0,0.0,0.0,,
Michael Melchert || Liberal Alliance || københavns omegn,Michael Melchert,Liberal Alliance,københavns omegn,0.0,Bachelor-/diplomuddannelse,0,331,117371,0.002820117405491987,0.0,0.0,0.0,0.0,0.0,,
Michael Nedersøe || Dansk Folkeparti || østjylland,Michael Nedersøe,Dansk Folkeparti,østjylland,0.0,Ikke oplyst,0,2075,126849,0.0163580319907922,0.0,0.0,0.0,0.0,0.0,0.0648929903789515,4.0
Michael Nielsen || Moderaterne || vestjylland,Michael Nielsen,Moderaterne,vestjylland,0.0,Ikke oplyst,0,562,100412,0.005596940604708601,0.0,0.0,0.0,0.0,0.0,,
Michael Pihl || Dansk Folkeparti || sjælland,Michael Pihl,Dansk Folkeparti,sjælland,0.0,Kandidat-/masteruddannelse,0,111,126849,0.0008750561691459925,0.0,0.0,0.0,0.0,0.0,,
Michael Portefee P. Lex || Radikale Venstre || nordjylland,Michael Portefee P. Lex,Radikale Venstre,nordjylland,0.0,Seminaruddannelse,0,142,100983,0.0014061772773635167,0.0,0.0,0.0,0.0,0.0,,
Michael Rask || Liberal Alliance || sjælland,Michael Rask,Liberal Alliance,sjælland,0.0,Gymnasial uddannelse,1,243,117371,0.0020703580952705523,3.0,6.0,8.0,8.0,8.0,,
Michael Rosenmark || Danmarksdemokraterne - Inger Støjberg || sjælland,Michael Rosenmark,Danmarksdemokraterne - Inger Støjberg,sjælland,0.0,Gymnasial uddannelse,0,207,75770,0.00273195195987858,0.0,0.0,0.0,0.0,0.0,,
Michael Schjelde || Venstre || sjælland,Michael Schjelde,Venstre,sjælland,0.0,Ikke oplyst,0,77,235636,0.000326775195640734,0.0,0.0,0.0,0.0,0.0,,
Michael Valbjørn || Liberal Alliance || vestjylland,Michael Valbjørn,Liberal Alliance,vestjylland,0.0,Bachelor-/diplomuddannelse,1,636,117371,0.005418715014782186,1.0,2.0,5.0,10.0,16.0,,
Michelle Sundahl || Dansk Folkeparti || vestjylland,Michelle Sundahl,Dansk Folkeparti,vestjylland,0.0,Erhvervsuddannelse,0,1059,126849,0.008348508856987442,0.0,0.0,0.0,0.0,0.0,,
Mikael Hertig || Alternativet || sydjylland,Mikael Hertig,Alternativet,sydjylland,0.0,Kandidat-/masteruddannelse,0,33,44532,0.0007410401509027216,0.0,0.0,0.0,0.0,0.0,,
Mikael Winther || Alternativet || sydjylland,Mikael Winther,Alternativet,sydjylland,0.0,Kandidat-/masteruddannelse,1,96,44532,0.002155753166262463,5.0,6.0,11.0,13.0,44.0,0.001757721419091007,25.0
Mikael Würtz || Dansk Folkeparti || vestjylland,Mikael Würtz,Dansk Folkeparti,vestjylland,0.0,Ikke oplyst,0,889,126849,0.007008332742079165,0.0,0.0,0.0,0.0,0.0,,
Mikkel Bahl || Alternativet || københavn,Mikkel Bahl,Alternativet,københavn,0.0,Bachelor-/diplomuddannelse,0,53,44532,0.0011901553938740682,0.0,0.0,0.0,0.0,0.0,,
